"symbol","time","open"
"B2X",2017-10-19 02:00:00,850
"B2X",2017-10-20 02:00:00,850
"B2X",2017-10-21 02:00:00,850
"B2X",2017-10-22 02:00:00,1000
"B2X",2017-10-23 02:00:00,999.97
"B2X",2017-10-24 02:00:00,1065.96
"B2X",2017-10-25 02:00:00,925.92
"B2X",2017-10-26 02:00:00,1035.87
"B2X",2017-10-27 02:00:00,1095.37
"B2X",2017-10-28 02:00:00,1019.27
"B2X",2017-10-29 02:00:00,1029.96
"B2X",2017-10-30 01:00:00,1018.21
"B2X",2017-10-31 01:00:00,1011.24
"B2X",2017-11-01 01:00:00,1157.72
"B2X",2017-11-02 01:00:00,1201.8
"B2X",2017-11-03 01:00:00,1234.4
"B2X",2017-11-04 01:00:00,1872.17
"B2X",2017-11-05 01:00:00,1671.38
"B2X",2017-11-06 01:00:00,1745.7
"B2X",2017-11-07 01:00:00,1408.24
"B2X",2017-11-08 01:00:00,1356.73
"B2X",2017-11-09 01:00:00,178.84
"B2X",2017-11-10 01:00:00,344.94
"B2X",2017-11-11 01:00:00,460.32
"B2X",2017-11-12 01:00:00,340.75
"B2X",2017-11-13 01:00:00,328.49
"B2X",2017-11-14 01:00:00,321.23
"B2X",2017-11-15 01:00:00,274.07
"B2X",2017-11-16 01:00:00,256.41
"B2X",2017-11-17 01:00:00,243
"B2X",2017-11-18 01:00:00,270.14
"B2X",2017-11-19 01:00:00,186.5
"B2X",2017-11-20 01:00:00,198
"B2X",2017-11-21 01:00:00,173.02
"B2X",2017-11-22 01:00:00,235.31
"B2X",2017-11-23 01:00:00,267.77
"B2X",2017-11-24 01:00:00,251.9
"B2X",2017-11-25 01:00:00,271.38
"B2X",2017-11-26 01:00:00,261.94
"B2X",2017-11-27 01:00:00,259.96
"B2X",2017-11-28 01:00:00,242.2
"B2X",2017-11-29 01:00:00,207.67
"B2X",2017-11-30 01:00:00,187.43
"B2X",2017-12-01 01:00:00,208.83
"B2X",2017-12-02 01:00:00,208.22
"B2X",2017-12-03 01:00:00,240.44
